Company,Sector,GRI_Code,GRI_Category,GRI_Topic,GRI_Description,Disclosed,Completeness_Pct
Apple Inc,Technology & Communications,GRI 2,Universal,General Disclosures,"Organizational profile, governance, stakeholder engagement",True,85
Apple Inc,Technology & Communications,GRI 3,Universal,Material Topics,Process for determining material topics,True,76
Apple Inc,Technology & Communications,GRI 201,Economic,Economic Performance,Direct economic value generated and distributed,True,97
Apple Inc,Technology & Communications,GRI 202,Economic,Market Presence,Ratios of standard entry level wage by gender,False,0
Apple Inc,Technology & Communications,GRI 203,Economic,Indirect Economic Impacts,Infrastructure investments and services supported,True,60
Apple Inc,Technology & Communications,GRI 204,Economic,Procurement Practices,Proportion of spending on local suppliers,True,61
Apple Inc,Technology & Communications,GRI 205,Economic,Anti-Corruption,Operations assessed for corruption risks,True,51
Apple Inc,Technology & Communications,GRI 206,Economic,Anti-Competitive Behavior,Legal actions for anti-competitive behavior,False,0
Apple Inc,Technology & Communications,GRI 207,Economic,Tax,"Approach to tax, governance, control",True,100
Apple Inc,Technology & Communications,GRI 301,Environmental,Materials,Materials used by weight or volume,True,92
Apple Inc,Technology & Communications,GRI 302,Environmental,Energy,Energy consumption within organization,True,65
Apple Inc,Technology & Communications,GRI 303,Environmental,Water & Effluents,Water withdrawal by source,False,0
Apple Inc,Technology & Communications,GRI 304,Environmental,Biodiversity,Operational sites near protected areas,True,56
Apple Inc,Technology & Communications,GRI 305,Environmental,Emissions,Direct GHG emissions (Scope 1),True,52
Apple Inc,Technology & Communications,GRI 306,Environmental,Waste,Waste generated and disposal,True,64
Apple Inc,Technology & Communications,GRI 308,Environmental,Supplier Environmental Assessment,New suppliers screened on environment,False,0
Apple Inc,Technology & Communications,GRI 401,Social,Employment,New employee hires and turnover,True,72
Apple Inc,Technology & Communications,GRI 402,Social,Labor/Management Relations,Minimum notice periods for operational changes,True,100
Apple Inc,Technology & Communications,GRI 403,Social,Occupational Health & Safety,Management system for health and safety,True,64
Apple Inc,Technology & Communications,GRI 404,Social,Training & Education,Average hours of training per year,False,0
Apple Inc,Technology & Communications,GRI 405,Social,Diversity & Equal Opportunity,Diversity of governance bodies,False,0
Apple Inc,Technology & Communications,GRI 406,Social,Non-Discrimination,Incidents of discrimination,True,54
Apple Inc,Technology & Communications,GRI 407,Social,Freedom of Association,Operations where rights may be at risk,True,67
Apple Inc,Technology & Communications,GRI 408,Social,Child Labor,Operations at significant risk for child labor,True,82
Apple Inc,Technology & Communications,GRI 409,Social,Forced Labor,Operations at risk for forced labor,True,84
Apple Inc,Technology & Communications,GRI 413,Social,Local Communities,Operations with local community engagement,True,51
Apple Inc,Technology & Communications,GRI 414,Social,Supplier Social Assessment,New suppliers screened on social criteria,False,0
Apple Inc,Technology & Communications,GRI 415,Social,Public Policy,Political contributions,True,61
